bank_ref,date,description,amount,type
BS-001,2026-03-01,SPOTIFY MUSIC LTD,15000.00,credit
BS-002,2026-03-02,AMAZON WEB SERVICES,2340.00,debit
BS-003,2026-03-05,PAYROLL BATCH MARCH,45200.00,debit
BS-004,2026-03-05,EPIDEMIC SOUND AB,22000.00,credit
BS-005,2026-03-07,OFFICE RENT MARCH,3500.00,debit
BS-006,2026-03-09,STRIPE REFUND,250.00,credit
BS-007,2026-03-10,INTERNAL TRANSFER SAVINGS,50000.00,debit
BS-008,2026-03-12,YOTO LTD INV 0021,9750.00,credit
BS-009,2026-03-15,LINKEDIN ADVERTISING,1200.00,debit
BS-010,2026-03-18,HMRC VAT Q1 2026,8900.00,debit
BS-011,2026-03-20,BUMPER AUTOMOTIVE INV 0018,6600.00,credit
BS-012,2026-03-28,NOTION FIGMA SUBSCRIPTIONS,480.00,debit
BS-013,2026-03-30,BANK CHARGES MARCH 2026,45.00,debit
BS-014,2026-03-31,ACCRUAL REVERSAL MARCH,1500.00,debit
BS-015,2026-03-01,SOUNDCLOUD INC,8500.00,credit
BS-016,2026-03-04,PANDORA MEDIA INC,12750.00,credit
BS-017,2026-03-06,ADOBE SYSTEMS UK,675.00,debit
BS-018,2026-03-11,TRAVEL EXPENSE REIMB,2800.00,debit
BS-019,2026-03-24,MOTORWAY GROUP LTD,31000.00,credit
BS-020,2026-03-25,GOOGLE ADS BILLING,5600.00,debit
BS-021,2026-03-29,CARD PROCESSING FEE,125.00,debit
BS-022,2026-03-31,S CLARKE EXPENSES,3200.00,debit
